Age,Gender,Education Level,Job Title,Years of Experience,Location,Work Mode,Salary
31,Female,Master's,Frontend Developer,19.6,Mumbai,On-site,3836940
54,Female,Bachelor's,Business Analyst,15.3,Gurgaon,Hybrid,2857638
40,Male,Bachelor's,Backend Developer,16.9,Chennai,Hybrid,3015667
33,Female,Bachelor's,Marketing Manager,17.9,Hyderabad,On-site,3553303
22,Female,Bachelor's,Intern,0.6,Gurgaon,On-site,351664
38,Female,Master's,Full Stack Developer,18.1,Mumbai,Remote,3496213
40,Male,Bachelor's,Marketing Manager,2.2,Bangalore,Remote,1369319
37,Female,Bachelor's,DevOps Engineer,1.6,Noida,Remote,784935
47,Male,High School,Full Stack Developer,18.4,Bangalore,On-site,3319487
36,Male,Bachelor's,Full Stack Developer,6.7,Pune,Hybrid,1495525
37,Female,Bachelor's,Project Manager,22.7,Mumbai,On-site,4439526
34,Male,Master's,QA Engineer,13.2,Chennai,Remote,2717635
35,Female,Bachelor's,Full Stack Developer,20.1,Bangalore,Remote,3691017
20,Male,Bachelor's,HR Manager,24.9,Bangalore,On-site,4831200
32,Female,Bachelor's,QA Engineer,4.5,Chennai,On-site,1144145
32,Female,High School,HR Manager,19.0,Mumbai,On-site,3847660
43,Female,Bachelor's,Data Scientist,24.1,Mumbai,On-site,4550224
41,Female,Bachelor's,HR Manager,22.6,Mumbai,Hybrid,4430963
43,Male,Bachelor's,Backend Developer,1.1,Chennai,Hybrid,634422
27,Male,Bachelor's,Data Scientist,9.2,Chennai,Remote,2143970
26,Female,Bachelor's,UX Designer,19.8,Pune,Remote,3520221
41,Male,Bachelor's,UX Designer,18.4,Mumbai,Hybrid,3396494
39,Female,Bachelor's,UX Designer,13.3,Pune,On-site,2483868
20,Female,Master's,Intern,0.7,Hyderabad,On-site,585922
34,Female,Bachelor's,Project Manager,18.6,Noida,On-site,3780712
58,Male,Bachelor's,HR Manager,19.4,Noida,On-site,3887518
59,Female,Bachelor's,Software Engineer,10.7,Bangalore,On-site,2230654
37,Male,Bachelor's,Product Manager,9.9,Bangalore,Remote,2574309
23,Male,Bachelor's,Intern,0.4,Pune,Hybrid,483584
22,Female,Bachelor's,Product Manager,1.6,Gurgaon,On-site,1243610
57,Female,Bachelor's,Marketing Manager,14.4,Pune,Hybrid,3085180
55,Female,High School,Software Engineer,8.2,Hyderabad,Remote,1758735
24,Male,Bachelor's,Backend Developer,17.5,Pune,Hybrid,3166921
37,Male,Bachelor's,Full Stack Developer,21.4,Gurgaon,On-site,3805610
38,Male,Master's,UX Designer,7.2,Chennai,On-site,1857354
43,Male,Bachelor's,Frontend Developer,17.9,Chennai,Hybrid,3195474
53,Female,Master's,Project Manager,11.1,Chennai,Remote,2838016
53,Female,Master's,Backend Developer,4.1,Hyderabad,Remote,1391478
36,Male,Bachelor's,DevOps Engineer,13.8,Chennai,Remote,2520309
47,Female,Bachelor's,Data Scientist,23.4,Gurgaon,On-site,4390419
22,Male,High School,Business Analyst,2.3,Pune,Hybrid,824044
42,Male,Master's,UX Designer,3.2,Pune,On-site,1150377
31,Male,Bachelor's,QA Engineer,11.8,Bangalore,Hybrid,2382818
32,Male,Bachelor's,Business Analyst,21.9,Bangalore,Hybrid,3880836
20,Female,Bachelor's,Intern,0.1,Gurgaon,Hybrid,470802
37,Male,Bachelor's,HR Manager,20.6,Chennai,On-site,3960457
26,Female,Bachelor's,QA Engineer,0.4,Bangalore,Remote,699044
19,Male,Bachelor's,Intern,0.4,Bangalore,Remote,386367
21,Male,Bachelor's,Intern,0.9,Pune,Remote,400421
41,Male,Master's,Marketing Manager,3.7,Noida,Remote,1718835
47,Female,Master's,Full Stack Developer,12.2,Mumbai,On-site,2629748
21,Male,Master's,Backend Developer,13.9,Noida,Remote,2791163
37,Female,Master's,Backend Developer,5.6,Bangalore,Hybrid,1627115
45,Female,Master's,Marketing Manager,7.1,Pune,Remote,2244654
25,Male,Master's,HR Manager,10.5,Mumbai,Remote,2799889
50,Male,Master's,Data Scientist,5.0,Pune,On-site,1836572
59,Male,Bachelor's,Software Engineer,12.6,Hyderabad,On-site,2428744
38,Female,High School,Data Scientist,24.4,Chennai,Remote,4513962
56,Female,Bachelor's,Business Analyst,23.5,Mumbai,On-site,4173534
56,Female,Bachelor's,HR Manager,8.4,Chennai,On-site,2160654
21,Female,Bachelor's,UX Designer,22.8,Pune,Hybrid,4010925
33,Male,Master's,Full Stack Developer,19.4,Noida,On-site,3708424
41,Female,Master's,Business Analyst,14.5,Chennai,Hybrid,2847197
28,Female,Bachelor's,Backend Developer,24.9,Chennai,Hybrid,4306228
52,Female,Master's,Marketing Manager,10.6,Hyderabad,Remote,2690608
36,Male,Master's,Business Analyst,12.5,Chennai,Hybrid,2623595
25,Female,Master's,Backend Developer,3.5,Gurgaon,On-site,1305496
22,Female,Master's,Data Scientist,14.7,Noida,Remote,3278676
40,Female,Bachelor's,Software Engineer,2.9,Pune,Remote,1000372
26,Female,Bachelor's,Frontend Developer,9.0,Bangalore,On-site,2047446
46,Female,Bachelor's,Software Engineer,17.2,Hyderabad,Hybrid,3079496
44,Male,Bachelor's,Full Stack Developer,22.9,Gurgaon,Remote,4020772
37,Female,Bachelor's,Frontend Developer,21.0,Chennai,Remote,3616131
59,Male,Bachelor's,Product Manager,16.9,Pune,Hybrid,3428425
45,Male,Bachelor's,Frontend Developer,1.7,Hyderabad,Remote,792554
40,Male,Master's,Software Engineer,8.6,Hyderabad,On-site,2026881
55,Female,Master's,Business Analyst,22.8,Bangalore,Remote,4200567
18,Male,Master's,Intern,0.3,Mumbai,On-site,547962
18,Male,Master's,Full Stack Developer,1.9,Mumbai,Hybrid,1066775
37,Male,Bachelor's,Backend Developer,1.0,Chennai,Hybrid,632763
59,Female,Bachelor's,HR Manager,12.9,Chennai,Hybrid,2933725
30,Female,Master's,DevOps Engineer,5.7,Gurgaon,Remote,1609383
18,Male,PhD,Intern,0.8,Gurgaon,Remote,577913
43,Male,Bachelor's,HR Manager,21.0,Bangalore,On-site,4116915
54,Male,Master's,QA Engineer,8.5,Noida,Remote,2045293
52,Male,Bachelor's,HR Manager,7.3,Noida,Hybrid,1990435
24,Male,Master's,Project Manager,1.8,Noida,Hybrid,1390467
44,Male,Bachelor's,Backend Developer,17.8,Hyderabad,On-site,3205214
51,Male,Bachelor's,Frontend Developer,4.5,Pune,Hybrid,1146840
53,Female,Bachelor's,Project Manager,18.1,Gurgaon,On-site,3793612
39,Female,Master's,Marketing Manager,18.1,Mumbai,On-site,3949825
28,Female,Bachelor's,UX Designer,7.0,Mumbai,On-site,1725631
57,Female,PhD,Project Manager,11.0,Mumbai,Hybrid,3196815
54,Male,Master's,Full Stack Developer,9.2,Hyderabad,On-site,2102025
56,Male,Bachelor's,Business Analyst,11.6,Gurgaon,Remote,2431378
19,Male,Master's,Marketing Manager,17.8,Bangalore,On-site,3914536
44,Male,PhD,Project Manager,14.8,Mumbai,On-site,3727836
32,Male,High School,Backend Developer,16.6,Mumbai,On-site,3189880
48,Female,Master's,UX Designer,2.7,Gurgaon,On-site,1185530
24,Male,Master's,Data Scientist,17.0,Chennai,Hybrid,3582517
26,Female,Bachelor's,UX Designer,23.1,Noida,Remote,3978309
20,Male,Master's,DevOps Engineer,13.8,Chennai,Hybrid,2824979
40,Male,Bachelor's,Business Analyst,23.0,Mumbai,Hybrid,4029842
47,Male,Master's,UX Designer,12.1,Mumbai,On-site,2654472
55,Female,Master's,Full Stack Developer,4.1,Hyderabad,On-site,1298277
37,Female,Bachelor's,Data Scientist,12.7,Mumbai,Remote,2830733
32,Female,Bachelor's,Full Stack Developer,20.4,Pune,Hybrid,3580974
50,Male,Master's,Data Scientist,24.5,Noida,On-site,4637724
20,Male,Bachelor's,Intern,0.4,Hyderabad,Remote,502521
23,Female,Master's,Backend Developer,8.0,Chennai,On-site,1904731
39,Female,Bachelor's,Project Manager,12.1,Hyderabad,Remote,2749840
34,Male,Bachelor's,UX Designer,10.2,Gurgaon,Hybrid,2201133
30,Female,High School,Software Engineer,7.8,Chennai,Remote,1768853
52,Female,Bachelor's,Project Manager,14.3,Gurgaon,On-site,3118063
59,Female,Bachelor's,Product Manager,22.3,Mumbai,Remote,4338925
40,Female,Bachelor's,Full Stack Developer,5.5,Mumbai,Hybrid,1415207
59,Female,PhD,Business Analyst,17.3,Mumbai,Remote,3764713
50,Male,Bachelor's,Frontend Developer,4.8,Gurgaon,Hybrid,1413063
46,Female,Bachelor's,Product Manager,22.7,Bangalore,Hybrid,4356628
24,Male,Master's,Data Scientist,8.1,Noida,On-site,2170064
42,Male,Bachelor's,Backend Developer,5.9,Mumbai,Remote,1513075
27,Male,Master's,Marketing Manager,22.0,Bangalore,On-site,4493933
37,Female,Master's,QA Engineer,7.3,Pune,Remote,1879399
52,Male,Master's,Business Analyst,15.5,Pune,Hybrid,2997386
45,Male,Master's,Full Stack Developer,3.5,Bangalore,On-site,1378958
56,Female,Master's,HR Manager,24.7,Chennai,Remote,4824670
32,Female,Bachelor's,Backend Developer,17.1,Pune,Remote,3118431
28,Female,Bachelor's,Full Stack Developer,5.9,Chennai,On-site,1457227
39,Female,Bachelor's,UX Designer,14.2,Chennai,Hybrid,2718948
37,Female,Bachelor's,Project Manager,23.8,Hyderabad,Remote,4533635
54,Female,High School,Full Stack Developer,3.5,Mumbai,On-site,1109518
59,Male,Master's,Full Stack Developer,21.8,Gurgaon,Hybrid,4061400
53,Male,Bachelor's,DevOps Engineer,6.2,Hyderabad,Hybrid,1463971
19,Female,Bachelor's,Business Analyst,16.7,Hyderabad,Remote,3103815
23,Female,Bachelor's,Intern,0.8,Mumbai,On-site,398235
18,Female,Bachelor's,Full Stack Developer,11.6,Hyderabad,Remote,2233489
39,Female,Bachelor's,Software Engineer,1.7,Hyderabad,Remote,803851
53,Female,High School,Project Manager,5.3,Chennai,On-site,1734721
22,Male,Bachelor's,Full Stack Developer,6.3,Gurgaon,Hybrid,1551275
48,Female,Master's,Project Manager,10.4,Gurgaon,Remote,2720870
55,Female,Bachelor's,UX Designer,5.3,Gurgaon,On-site,1491893
22,Female,Bachelor's,Frontend Developer,20.4,Hyderabad,Remote,3639397
56,Male,Master's,Marketing Manager,14.8,Pune,Hybrid,3290098
58,Male,PhD,Data Scientist,7.6,Pune,On-site,2498757
27,Male,Master's,HR Manager,22.2,Hyderabad,Hybrid,4400528
21,Male,Bachelor's,Intern,1.0,Chennai,Remote,484516
22,Female,Bachelor's,Intern,0.7,Pune,On-site,494662
25,Male,Master's,Full Stack Developer,24.5,Hyderabad,On-site,4373929
45,Female,Bachelor's,Software Engineer,1.5,Noida,Remote,677623
52,Female,Bachelor's,Product Manager,15.0,Chennai,Remote,3221845
46,Female,Bachelor's,UX Designer,8.6,Pune,Remote,1839022
36,Female,High School,QA Engineer,24.0,Pune,Remote,4059840
38,Male,High School,Full Stack Developer,5.5,Pune,Remote,1291087
36,Male,Master's,DevOps Engineer,12.3,Mumbai,Hybrid,2689791
33,Male,Bachelor's,Full Stack Developer,7.8,Chennai,Remote,1716385
58,Female,Master's,Software Engineer,16.9,Pune,Hybrid,3299935
36,Female,Master's,Full Stack Developer,14.5,Mumbai,Hybrid,3038551
54,Female,Bachelor's,UX Designer,14.9,Mumbai,Hybrid,2875118
44,Female,Master's,Business Analyst,5.9,Noida,Remote,1615792
53,Female,Master's,Software Engineer,11.9,Pune,Hybrid,2461630
23,Male,High School,Software Engineer,18.0,Hyderabad,On-site,3193773
26,Male,Bachelor's,Product Manager,7.6,Gurgaon,Remote,2209310
51,Female,Master's,Software Engineer,2.6,Noida,On-site,1087840
51,Female,Bachelor's,Backend Developer,13.1,Pune,On-site,2456884
48,Male,PhD,Data Scientist,22.8,Gurgaon,Hybrid,4778615
25,Female,Bachelor's,Backend Developer,15.9,Hyderabad,Remote,2886441
18,Female,Master's,UX Designer,7.6,Mumbai,Hybrid,1898369
49,Male,PhD,Data Scientist,0.4,Pune,Hybrid,1323161
59,Female,Bachelor's,QA Engineer,3.8,Chennai,Remote,1153154
20,Male,Master's,Intern,0.7,Chennai,On-site,418136
39,Male,Bachelor's,Business Analyst,2.6,Chennai,On-site,884304
23,Female,Master's,Intern,0.8,Bangalore,Hybrid,593965
48,Male,Bachelor's,Business Analyst,22.0,Pune,Remote,3826203
57,Male,Master's,Product Manager,21.9,Mumbai,On-site,4577661
20,Female,Bachelor's,Intern,0.4,Noida,Hybrid,488973
54,Male,PhD,Frontend Developer,8.2,Gurgaon,On-site,2286697
44,Female,High School,UX Designer,9.4,Gurgaon,Remote,2020388
30,Female,Master's,Full Stack Developer,17.2,Gurgaon,Hybrid,3356114
57,Male,Bachelor's,DevOps Engineer,24.2,Gurgaon,Remote,4329924
22,Male,Bachelor's,Intern,0.9,Noida,On-site,529367
53,Male,Master's,UX Designer,20.2,Chennai,Hybrid,3699848
39,Male,Master's,DevOps Engineer,13.9,Noida,Remote,2769813
56,Female,High School,QA Engineer,8.4,Mumbai,Hybrid,1938392
34,Male,Master's,Business Analyst,10.0,Pune,On-site,2190966
32,Female,PhD,Business Analyst,22.2,Chennai,On-site,4347698
20,Female,Bachelor's,Intern,1.0,Bangalore,Hybrid,341820
45,Male,Master's,UX Designer,12.7,Chennai,Remote,2596348
23,Female,Master's,Marketing Manager,3.0,Bangalore,Remote,1699510
29,Female,Master's,QA Engineer,16.4,Bangalore,Hybrid,3239613
47,Female,Bachelor's,UX Designer,22.9,Pune,Hybrid,3981249
31,Female,Bachelor's,Business Analyst,0.3,Mumbai,Hybrid,632418
42,Female,Bachelor's,Frontend Developer,21.3,Gurgaon,Hybrid,3748507
27,Female,Bachelor's,DevOps Engineer,18.3,Pune,Remote,3204993
46,Male,Bachelor's,UX Designer,23.3,Mumbai,On-site,4162435
54,Female,Bachelor's,Frontend Developer,8.3,Chennai,Remote,1833909
35,Male,Master's,Software Engineer,0.0,Chennai,Hybrid,669482
42,Female,Bachelor's,HR Manager,8.0,Hyderabad,On-site,2195029
20,Male,Master's,Software Engineer,24.8,Pune,Hybrid,4474601
24,Male,Bachelor's,Backend Developer,21.6,Chennai,Remote,3836802
27,Male,Master's,Software Engineer,17.8,Noida,Remote,3438368
20,Male,Bachelor's,Marketing Manager,7.4,Chennai,On-site,1984515
52,Female,Bachelor's,QA Engineer,12.8,Bangalore,On-site,2568963
19,Female,PhD,Intern,0.4,Gurgaon,On-site,496957
23,Female,Bachelor's,Intern,0.5,Gurgaon,On-site,570085
22,Female,Bachelor's,Intern,0.5,Pune,Remote,373634
23,Female,Bachelor's,Software Engineer,7.3,Hyderabad,Hybrid,1545024
45,Male,Master's,Full Stack Developer,18.3,Mumbai,Remote,3575677
35,Male,Bachelor's,Business Analyst,6.1,Mumbai,On-site,1528004
37,Male,Bachelor's,Software Engineer,16.5,Gurgaon,Remote,3096312
53,Female,Bachelor's,Frontend Developer,5.0,Mumbai,On-site,1364276
48,Female,Bachelor's,Marketing Manager,0.3,Hyderabad,Hybrid,948665
47,Male,Bachelor's,UX Designer,3.7,Hyderabad,Hybrid,1074303
31,Female,Master's,HR Manager,3.8,Noida,On-site,1765300
52,Male,Bachelor's,Frontend Developer,0.8,Noida,On-site,671964
54,Male,Bachelor's,Backend Developer,5.2,Bangalore,Hybrid,1331331
34,Female,PhD,Software Engineer,0.2,Gurgaon,Hybrid,1145267
18,Male,Master's,Intern,0.4,Chennai,Remote,306813
47,Male,Master's,Project Manager,1.6,Gurgaon,Remote,1491172
24,Male,Bachelor's,Data Scientist,21.9,Noida,Remote,4122247
43,Male,Master's,UX Designer,7.6,Mumbai,Remote,1980049
23,Female,Master's,Full Stack Developer,4.9,Hyderabad,On-site,1518359
28,Male,Master's,Full Stack Developer,3.1,Gurgaon,On-site,1222649
55,Male,Bachelor's,Product Manager,7.3,Bangalore,Hybrid,2070016
19,Male,Bachelor's,Full Stack Developer,10.9,Bangalore,On-site,2240681
47,Male,Bachelor's,HR Manager,1.6,Gurgaon,Remote,1244971
52,Female,Bachelor's,Backend Developer,4.3,Bangalore,On-site,1253481
32,Male,Master's,Business Analyst,11.8,Noida,Hybrid,2469231
18,Male,Bachelor's,UX Designer,17.1,Bangalore,Remote,3204276
23,Male,PhD,Business Analyst,18.6,Pune,Remote,3823847
53,Male,Master's,Data Scientist,21.5,Bangalore,Remote,4328403
26,Male,Master's,Project Manager,24.9,Pune,Remote,4834033
50,Male,Bachelor's,QA Engineer,21.1,Chennai,Hybrid,3631432
26,Male,Master's,Software Engineer,9.9,Hyderabad,Remote,2272333
43,Female,Bachelor's,Data Scientist,24.4,Noida,Hybrid,4435992
33,Male,Master's,Marketing Manager,7.2,Gurgaon,On-site,2328796
48,Female,Bachelor's,Business Analyst,10.5,Bangalore,Hybrid,2154951
50,Female,Bachelor's,Software Engineer,23.5,Mumbai,Remote,4185490
52,Male,Master's,Marketing Manager,15.1,Chennai,Hybrid,3372688
25,Male,Bachelor's,Project Manager,22.4,Bangalore,On-site,4367230
31,Female,Master's,QA Engineer,16.7,Pune,Hybrid,3219313
55,Male,Bachelor's,Data Scientist,13.3,Pune,Remote,2878167
22,Male,High School,QA Engineer,23.2,Gurgaon,Hybrid,4112966
35,Male,Bachelor's,Frontend Developer,2.9,Hyderabad,Remote,948690
31,Male,Master's,Software Engineer,14.0,Gurgaon,Hybrid,2947219
20,Female,Bachelor's,Full Stack Developer,4.0,Gurgaon,Remote,1157872
33,Female,Bachelor's,Backend Developer,11.8,Pune,Hybrid,2282527
48,Male,Master's,Product Manager,10.8,Gurgaon,On-site,2800169
34,Male,Master's,Project Manager,15.5,Mumbai,Remote,3589903
22,Female,Bachelor's,Intern,0.5,Gurgaon,Hybrid,337555
31,Male,Bachelor's,Frontend Developer,5.1,Chennai,Remote,1357662
25,Female,Bachelor's,UX Designer,12.1,Gurgaon,Hybrid,2376592
30,Female,Bachelor's,Project Manager,7.2,Pune,On-site,2069508
40,Male,Master's,Business Analyst,17.9,Mumbai,Remote,3566969
22,Female,Master's,Intern,0.8,Mumbai,On-site,461995
35,Male,Master's,Data Scientist,16.7,Pune,Remote,3585864
39,Male,High School,Product Manager,21.3,Bangalore,Hybrid,4212434
30,Female,PhD,Project Manager,16.6,Hyderabad,Hybrid,3977749
23,Female,Bachelor's,Intern,0.0,Mumbai,On-site,489239
27,Female,Bachelor's,QA Engineer,24.4,Bangalore,Remote,4307262
48,Female,High School,Backend Developer,18.4,Gurgaon,Hybrid,3313387
47,Female,Bachelor's,Full Stack Developer,2.1,Chennai,Remote,776254
39,Male,Bachelor's,Data Scientist,12.1,Gurgaon,On-site,2700166
20,Male,High School,Full Stack Developer,23.3,Noida,On-site,3996551
53,Male,High School,Marketing Manager,20.3,Noida,Remote,4026730
25,Male,Bachelor's,Software Engineer,14.3,Bangalore,On-site,2746285
50,Male,Master's,Data Scientist,0.6,Mumbai,Hybrid,1262917
31,Male,Bachelor's,Frontend Developer,17.7,Bangalore,Remote,3205055
43,Female,Bachelor's,UX Designer,4.7,Pune,Hybrid,1208568
37,Male,Bachelor's,UX Designer,17.9,Bangalore,On-site,3259538
33,Female,Master's,Product Manager,14.9,Bangalore,Remote,3454165
19,Female,Bachelor's,Intern,0.4,Mumbai,On-site,350396
34,Male,Bachelor's,Frontend Developer,19.7,Gurgaon,Remote,3557106
36,Female,Bachelor's,UX Designer,7.0,Bangalore,On-site,1699499
49,Female,Bachelor's,Product Manager,6.6,Hyderabad,Hybrid,1936124
33,Male,Master's,UX Designer,8.7,Bangalore,Hybrid,2116310
21,Female,Bachelor's,Intern,0.6,Bangalore,Hybrid,402645
53,Female,Master's,Data Scientist,19.6,Gurgaon,Remote,4078487
57,Male,Master's,Backend Developer,3.7,Bangalore,On-site,1333786
18,Male,Bachelor's,Product Manager,5.6,Pune,Remote,1726493
29,Female,Master's,Project Manager,17.7,Pune,On-site,3741324
46,Male,Bachelor's,Business Analyst,14.3,Noida,Hybrid,2608429
51,Female,Bachelor's,Project Manager,11.6,Pune,On-site,2671789
36,Male,PhD,Frontend Developer,0.1,Bangalore,Remote,1118768
23,Female,Master's,UX Designer,18.3,Hyderabad,Hybrid,3427852
45,Male,Bachelor's,UX Designer,5.5,Hyderabad,On-site,1421852
58,Female,Bachelor's,HR Manager,18.8,Hyderabad,Remote,3783789
24,Female,Bachelor's,Full Stack Developer,3.8,Noida,On-site,1058346
19,Female,Master's,Project Manager,19.0,Bangalore,Hybrid,4035951
54,Male,Master's,Product Manager,12.5,Hyderabad,Hybrid,3010131
18,Male,High School,Full Stack Developer,5.6,Pune,On-site,1412571
44,Female,Bachelor's,Data Scientist,11.1,Chennai,Remote,2431951
44,Female,Master's,HR Manager,6.6,Hyderabad,On-site,2069914
20,Female,Master's,Intern,0.8,Bangalore,Hybrid,531422
43,Male,Bachelor's,Data Scientist,11.1,Chennai,On-site,2446002
23,Female,Master's,Software Engineer,15.2,Gurgaon,Hybrid,3097232
45,Male,Bachelor's,Business Analyst,7.2,Hyderabad,Hybrid,1563227
19,Male,Bachelor's,Marketing Manager,22.8,Pune,Hybrid,4270544
27,Female,Master's,Product Manager,1.0,Gurgaon,On-site,1396911
20,Male,Bachelor's,HR Manager,20.6,Gurgaon,Remote,4082064
32,Male,Master's,Frontend Developer,17.7,Bangalore,On-site,3551521
29,Male,Bachelor's,Product Manager,24.4,Mumbai,On-site,4717154
33,Male,Bachelor's,Software Engineer,5.4,Mumbai,Hybrid,1397383
54,Female,Master's,UX Designer,8.0,Hyderabad,On-site,1944079
33,Male,Master's,Frontend Developer,7.6,Pune,Hybrid,1804576
26,Female,Bachelor's,Software Engineer,8.5,Pune,Hybrid,1837131
53,Female,Master's,Project Manager,24.0,Hyderabad,On-site,4784008
21,Female,High School,Project Manager,3.6,Bangalore,Hybrid,1548323
36,Female,Bachelor's,Frontend Developer,4.4,Pune,On-site,1180174
37,Male,Bachelor's,Software Engineer,14.5,Chennai,Remote,2631686
39,Male,Master's,Project Manager,10.0,Gurgaon,Remote,2716192
31,Male,Bachelor's,DevOps Engineer,14.5,Noida,Hybrid,2748199
40,Female,Bachelor's,Frontend Developer,20.0,Mumbai,Remote,3597494
42,Female,Bachelor's,Frontend Developer,2.0,Gurgaon,Hybrid,880594
41,Female,PhD,Backend Developer,7.7,Noida,Hybrid,2128683
28,Female,Bachelor's,Business Analyst,11.8,Hyderabad,Hybrid,2269134
57,Female,Bachelor's,QA Engineer,24.6,Bangalore,On-site,4312483
38,Female,Bachelor's,Software Engineer,13.7,Pune,Hybrid,2607952
34,Female,Master's,QA Engineer,17.8,Gurgaon,On-site,3448410
29,Female,Bachelor's,Marketing Manager,18.8,Chennai,Remote,3790192
51,Male,Bachelor's,DevOps Engineer,18.5,Pune,On-site,3272342
19,Male,Master's,QA Engineer,17.5,Gurgaon,Hybrid,3487558
